abis
abjat
ad
adek
adpokat
aduduh
aduh
adzan
afdol
agamawan
agan
agp
ahlak
aing
aj
ajah
ajib
ajk
ak
aktifitas
aktip
alay
allah
alm
almt
amandemen
ambeyen
ambulan
ampau
amphibi
amsyong
analisa
anda
ane
anged
anget
anggep
anjay
anjir
anjrit
ank
antene
antri
anu
anugrah
anying
ap
apaa
apaansi
apah
apakh
apal
apalgi
apaya
apayaa
apdet
aplod
aposeh
apotik
apus
aq
aqu
asdos
asek
asem
asik
astronot
asyek
asyekk
atheis
atlit
atmosfir
ato
atuh
atw
audisi
autis
awal2
awl
ayang
ayank
ayanq
ayk
ayok
ayuk
ayukz
azas
babe
badmood
bag
balan
bales
balesin
balsem
bangeet
banget
bangett
bangit
bangsat
banyakk
baper
barang2
barokah
batalyon
baterei
batre
batrenya
bbm
bbrapa
bbrp
bdan
bebep
beberes
begimana
belago
belagu
belom
bences
bencong
bener
beneran
benr
berfikir
berhrap
bete
betoel
bg
bgg
bgian
bgini
bgmn
bgs
bgst
bgt
bgtu
bgus
bhs
bhsa
bhw
biosfir
bis
bju
bk
bka
bkn
bkng
bkr
blan
blangko
bleh
blg
blh
bli
bliau
blkg
blkng
blm
bln
blom
bls
blum
bnar
bnda
bner
bnerz
bnget
bngt
bnr
bntr
bnyak
bnyk
bobo
boboin
bodo
bokap
boker
bonyok
boong
boongnya
bosen
bosenan
bosenin
bp
bpk
brandal
brangkas
brarti
brasa
brg
brng
bro
brondong
brp
brpa
bru
bs
bsa
bsar
bsh
bsk
bsn
bsok
bsr
btol
btw
buanget
budeg
budhe
budjet
bukak
bukanny
bukber
bukde
bulet
buluk
bulutangkis
butu
bw
bwt
byk
byr
cabe
cacimaki
cakep
capcus
cape
capek
cayaank
cayang
cayank
cbt
ce
ceban
cekidot
cekrek
celaloe
celalu
cemangat
cemen
cemingit
cemungut
cemungutt
cenderamata
cendikiawan
cengkeh
cengkram
cepek
cepet
cew
cewe
cewee
cewenya
choy
cian
ciank
ciapa
cidera
cie
cincay
cingcong
cini
circus
cius
ciye
ckck
ckp
claloeh
clalu
clamanya
clana
client
cm
cmn
cnth
cntik
cntk
co
coklat
copas
cowo
coy
cp
cpt
cr
cri
critanya
cth
cuek
culun
cungkring
cupu
curanmor
curhat
cuy
cuyunk
cw
da
dah
dapet
dapetin
daptar
dateng
datengnya
dduk
debitor
defiasi
degdegan
deket
deketin
dekrit
demen
deng
denger
dengerin
dengernya
depo
dermawand
designnya
destilasi
detil
dftar
dg
dgn
dgr
dgrin
diagnosa
diapalin
diblkg
diblututin
dicharge
didengerin
diem
difollback
digebug
digebukin
dihadang
dikit
dikit2
diklat
dimana2
dimanaa
dipake
dipinjemin
dipungkiri
disbbkan
diselesein
disimpen
diskonek
diskongratis
diskotik
ditegor
ditilep
diutamakn
dj
dkat
dket
dkit
dkt
dlam
dll
dlm
dlu
dm
dn
dng
dnger
dngerin
dngr
doang
dodol
doi
doku
dollar
dong
donk
doong
dopin
dosn
dpan
dpn
dprd
dpt
dr
drainage
drakor
dramatisir
dri
drpada
drpd
dsb
dsn
dsni
dtg
dtng
dudukny
dugem
duit
dulu
duluan
dulunya
duren
dwnload
efektip
eke
ekskul
ekstrim
ekstrimis
ektrim
ektstrovert
elit
elo
